Volatility 3 Framework 2.26.2

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output

0x9b9338805f00	1	1	0	systemd	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b93388017c0	2	2	0	kthreadd	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338800000	3	3	2	rcu_gp	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338802f80	4	4	2	rcu_par_gp	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b933882af80	6	6	2	kworker/0:0H	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b933882df00	8	8	2	mm_percpu_wq	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b93388297c0	9	9	2	ksoftirqd/0	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338828000	10	10	2	rcu_sched	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338834740	11	11	2	migration/0	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338835f00	12	12	2	idle_inject/0	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338bbaf80	14	14	2	cpuhp/0	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338bbc740	15	15	2	cpuhp/1	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338bbdf00	16	16	2	idle_inject/1	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338bb97c0	17	17	2	migration/1	0	0	0	0	2025-12-27 19:02:00.093957 UTC	Disabled
0x9b9338bb8000	18	18	2	ksoftirqd/1	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338bc8000	20	20	2	kworker/1:0H	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338bcaf80	21	21	2	cpuhp/2	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338bcc740	22	22	2	idle_inject/2	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338bcdf00	23	23	2	migration/2	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338415f00	24	24	2	ksoftirqd/2	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338410000	26	26	2	kworker/2:0H	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338412f80	27	27	2	cpuhp/3	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338414740	28	28	2	idle_inject/3	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338424740	29	29	2	migration/3	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338425f00	30	30	2	ksoftirqd/3	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338420000	32	32	2	kworker/3:0H	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338480000	33	33	2	kdevtmpfs	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338482f80	34	34	2	netns	0	0	0	0	2025-12-27 19:02:00.097957 UTC	Disabled
0x9b9338484740	35	35	2	rcu_tasks_kthre	0	0	0	0	2025-12-27 19:02:00.101957 UTC	Disabled
0x9b9338485f00	36	36	2	kauditd	0	0	0	0	2025-12-27 19:02:00.101957 UTC	Disabled
0x9b93385c0000	40	40	2	khungtaskd	0	0	0	0	2025-12-27 19:02:00.101957 UTC	Disabled
0x9b93385c2f80	41	41	2	oom_reaper	0	0	0	0	2025-12-27 19:02:00.101957 UTC	Disabled
0x9b93385c4740	42	42	2	writeback	0	0	0	0	2025-12-27 19:02:00.101957 UTC	Disabled
0x9b93385c5f00	43	43	2	kcompactd0	0	0	0	0	2025-12-27 19:02:00.105957 UTC	Disabled
0x9b9338028000	44	44	2	ksmd	0	0	0	0	2025-12-27 19:02:00.105957 UTC	Disabled
0x9b933802af80	45	45	2	khugepaged	0	0	0	0	2025-12-27 19:02:00.105957 UTC	Disabled
0x9b9338148000	92	92	2	kintegrityd	0	0	0	0	2025-12-27 19:02:00.105957 UTC	Disabled
0x9b933814af80	93	93	2	kblockd	0	0	0	0	2025-12-27 19:02:00.105957 UTC	Disabled
0x9b93381aaf80	94	94	2	blkcg_punt_bio	0	0	0	0	2025-12-27 19:02:00.105957 UTC	Disabled
0x9b93381ac740	95	95	2	tpm_dev_wq	0	0	0	0	2025-12-27 19:02:00.493957 UTC	Disabled
0x9b93381adf00	96	96	2	ata_sff	0	0	0	0	2025-12-27 19:02:00.493957 UTC	Disabled
0x9b93381a97c0	97	97	2	md	0	0	0	0	2025-12-27 19:02:00.493957 UTC	Disabled
0x9b933808c740	98	98	2	edac-poller	0	0	0	0	2025-12-27 19:02:00.493957 UTC	Disabled
0x9b933808af80	99	99	2	devfreq_wq	0	0	0	0	2025-12-27 19:02:00.493957 UTC	Disabled
0x9b9338088000	100	100	2	watchdogd	0	0	0	0	2025-12-27 19:02:00.517957 UTC	Disabled
0x9b9338084740	104	104	2	kswapd0	0	0	0	0	2025-12-27 19:02:00.739223 UTC	Disabled
0x9b9338082f80	105	105	2	ecryptfs-kthrea	0	0	0	0	2025-12-27 19:02:00.740271 UTC	Disabled
0x9b93380297c0	107	107	2	kthrotld	0	0	0	0	2025-12-27 19:02:00.742790 UTC	Disabled
0x9b933802df00	108	108	2	irq/24-pciehp	0	0	0	0	2025-12-27 19:02:00.743966 UTC	Disabled
0x9b933802c740	109	109	2	irq/25-pciehp	0	0	0	0	2025-12-27 19:02:00.745070 UTC	Disabled
0x9b93380e0000	110	110	2	irq/26-pciehp	0	0	0	0	2025-12-27 19:02:00.746072 UTC	Disabled
0x9b93380e17c0	111	111	2	irq/27-pciehp	0	0	0	0	2025-12-27 19:02:00.747029 UTC	Disabled
0x9b93380e5f00	112	112	2	irq/28-pciehp	0	0	0	0	2025-12-27 19:02:00.747986 UTC	Disabled
0x9b93380e4740	113	113	2	irq/29-pciehp	0	0	0	0	2025-12-27 19:02:00.748971 UTC	Disabled
0x9b93380e2f80	114	114	2	irq/30-pciehp	0	0	0	0	2025-12-27 19:02:00.750090 UTC	Disabled
0x9b93380d8000	115	115	2	irq/31-pciehp	0	0	0	0	2025-12-27 19:02:00.751026 UTC	Disabled
0x9b93380d97c0	116	116	2	irq/32-pciehp	0	0	0	0	2025-12-27 19:02:00.752055 UTC	Disabled
0x9b93380ddf00	117	117	2	irq/33-pciehp	0	0	0	0	2025-12-27 19:02:00.752957 UTC	Disabled
0x9b93380dc740	118	118	2	irq/34-pciehp	0	0	0	0	2025-12-27 19:02:00.753933 UTC	Disabled
0x9b93380daf80	119	119	2	irq/35-pciehp	0	0	0	0	2025-12-27 19:02:00.754834 UTC	Disabled
0x9b9338095f00	120	120	2	irq/36-pciehp	0	0	0	0	2025-12-27 19:02:00.755737 UTC	Disabled
0x9b9338094740	121	121	2	irq/37-pciehp	0	0	0	0	2025-12-27 19:02:00.756664 UTC	Disabled
0x9b9338092f80	122	122	2	irq/38-pciehp	0	0	0	0	2025-12-27 19:02:00.757536 UTC	Disabled
0x9b9338090000	123	123	2	irq/39-pciehp	0	0	0	0	2025-12-27 19:02:00.758406 UTC	Disabled
0x9b93380917c0	124	124	2	irq/40-pciehp	0	0	0	0	2025-12-27 19:02:00.759265 UTC	Disabled
0x9b933630af80	125	125	2	irq/41-pciehp	0	0	0	0	2025-12-27 19:02:00.760165 UTC	Disabled
0x9b933630c740	126	126	2	irq/42-pciehp	0	0	0	0	2025-12-27 19:02:00.761077 UTC	Disabled
0x9b933630df00	127	127	2	irq/43-pciehp	0	0	0	0	2025-12-27 19:02:00.761976 UTC	Disabled
0x9b93363097c0	128	128	2	irq/44-pciehp	0	0	0	0	2025-12-27 19:02:00.762870 UTC	Disabled
0x9b9336308000	129	129	2	irq/45-pciehp	0	0	0	0	2025-12-27 19:02:00.763777 UTC	Disabled
0x9b93363217c0	130	130	2	irq/46-pciehp	0	0	0	0	2025-12-27 19:02:00.764703 UTC	Disabled
0x9b9336320000	131	131	2	irq/47-pciehp	0	0	0	0	2025-12-27 19:02:00.765593 UTC	Disabled
0x9b9336322f80	132	132	2	irq/48-pciehp	0	0	0	0	2025-12-27 19:02:00.766479 UTC	Disabled
