Volatility 3 Framework 2.26.2

OFFSET (P)	PID	TID	PPID	COMM	EXIT_STATE

0x323d8000	22822	22822	22821	dpkg	EXIT_DEAD
0x323d97c0	22798	22798	22795	gdbus	EXIT_DEAD
0x323daf80	22820	22820	22819	dpkg	EXIT_DEAD
0x323dc740	22819	22819	22818	apt-config	EXIT_DEAD
0x323ddf00	22823	22823	22818	apt-config	EXIT_DEAD
0x69d6e840	22822	22822	22821	dpkg	EXIT_DEAD
0x69d70000	22798	22798	22795	gdbus	EXIT_DEAD
0x69d717c0	22820	22820	22819	dpkg	EXIT_DEAD
0x69d72f80	22819	22819	22818	apt-config	EXIT_DEAD
0x69d74740	22823	22823	22818	apt-config	EXIT_DEAD
0x96c48000	26862	26862	26845	mktemp	EXIT_DEAD
0x96c497c0	26844	26844	26690	gpgv	EXIT_DEAD
0x96c4af80	26863	26863	26845	chmod	EXIT_DEAD
0x96c4c740	26848	26848	26847	apt-config	EXIT_DEAD
0x96c4df00	26860	26860	26845	apt-config	EXIT_DEAD
0x96c58000	26793	26793	26690	gpgv	EXIT_DEAD
0x96c597c0	26803	26803	26802	apt-config	EXIT_DEAD
0x96c5af80	26812	26812	26869	chmod	EXIT_DEAD
0x96c5c740	26806	26806	26883	apt-config	EXIT_DEAD
0x96c5df00	26797	26797	26870	apt-config	EXIT_DEAD
0x9a20d000	26803	26803	26802	apt-config	EXIT_DEAD
0x9a20e7c0	26812	26812	26869	chmod	EXIT_DEAD
0x9b061000	26844	26844	26690	gpgv	EXIT_DEAD
0x9b0627c0	26863	26863	26845	chmod	EXIT_DEAD
0x9b22b840	26803	26803	26802	apt-config	EXIT_DEAD
0x9b22d000	26812	26812	26869	chmod	EXIT_DEAD
0x9c860000	27544	27544	26963	mv	EXIT_DEAD
0x9c8617c0	27578	27578	27577	rmmod	EXIT_DEAD
0x9c862f80	27582	27582	26332	sudo	TASK_RUNNING
0x9c864740	27557	27557	26332	uname	EXIT_DEAD
0x9c865f00	27420	27420	26968	make	EXIT_DEAD
0x9c878000	26705	26705	26884	apt-config	EXIT_DEAD
0x9c8797c0	26734	26734	26892	apt-key	EXIT_DEAD
0x9c87af80	26709	26709	26884	mktemp	EXIT_DEAD
0x9c87c740	26706	26706	26705	apt-config	EXIT_DEAD
0x9c87df00	26690	26690	26362	gpgv	EXIT_DEAD
0x9c8a8000	26819	26819	26869	find	EXIT_DEAD
0x9c8a97c0	26816	26816	26869	apt-config	EXIT_DEAD
0x9c8aaf80	26836	26836	26872	apt-key	EXIT_DEAD
0x9c8ac740	26837	26837	26872	sed	EXIT_DEAD
0x9c8adf00	26888	26888	26886	sed	EXIT_DEAD
0x9c968000	26854	26854	26853	apt-config	EXIT_DEAD
0x9c9697c0	26874	26874	26845	apt-key	EXIT_DEAD
0x9c96af80	26852	26852	26851	apt-config	EXIT_DEAD
0x9c96c740	26859	26859	26858	apt-config	EXIT_DEAD
0x9c96df00	26399	26399	26362	https	EXIT_DEAD
0x9c998000	27514	27514	27536	cat	EXIT_DEAD
0x9c9997c0	27526	27526	26968	make	EXIT_DEAD
0x9c99af80	27523	27523	27522	cat	EXIT_DEAD
0x9c99c740	27510	27510	27420	sh	EXIT_DEAD
0x9c99df00	27509	27509	27420	sh	EXIT_DEAD
0x9ca317c0	26632	26634	1	gdbus	TASK_RUNNING
0x9caf0000	26636	26636	26632	dpkg	EXIT_DEAD
0x9caf4740	26632	26635	1	pool-packagekit	EXIT_DEAD
0x9cb80000	26710	26710	26884	chmod	EXIT_DEAD
0x9cb817c0	26713	26713	26884	touch	EXIT_DEAD
0x9cb82f80	26707	26707	26884	apt-config	EXIT_DEAD
0x9cb84740	26714	26714	26884	apt-config	EXIT_DEAD
0x9cb85f00	26708	26708	26707	apt-config	EXIT_DEAD
0x9cb98000	26799	26799	26840	apt-config	EXIT_DEAD
0x9cb997c0	26801	26801	26800	apt-config	EXIT_DEAD
0x9cb9af80	26893	26893	26890	gpg-connect-age	EXIT_DEAD
0x9cb9c740	26892	26892	26890	gpg-connect-age	EXIT_DEAD
0x9cb9df00	26810	26810	26892	apt-config	EXIT_DEAD
0x9cba8000	26876	26876	26845	apt-key	EXIT_DEAD
0x9cba97c0	26875	26875	26845	cmp	EXIT_DEAD
0x9cbaaf80	26881	26881	26845	cat	EXIT_DEAD
0x9cbac740	26883	26883	26845	apt-key	EXIT_DEAD
0x9cbadf00	26882	26882	26845	cp	EXIT_DEAD
0x9cbb8000	26868	26868	26867	apt-config	EXIT_DEAD
0x9cbb97c0	26861	26861	26860	apt-config	EXIT_DEAD
0x9cbbaf80	26887	26887	26886	apt-key	EXIT_DEAD
0x9cbbc740	26858	26858	26845	apt-config	EXIT_DEAD
0x9cbbdf00	26857	26857	26856	apt-config	EXIT_DEAD
0x9cbc8000	26845	26845	26844	apt-key	EXIT_DEAD
0x9cbc97c0	26851	26851	26845	apt-config	EXIT_DEAD
0x9cbcaf80	26847	26847	26845	apt-config	EXIT_DEAD
0x9cbcc740	26853	26853	26845	apt-config	EXIT_DEAD
0x9cbcdf00	26849	26849	26845	apt-config	EXIT_DEAD
0x9cbd8000	26879	26879	26845	cmp	EXIT_DEAD
0x9cbd97c0	26878	26878	26845	apt-key	EXIT_DEAD
0x9cbdaf80	26880	26880	26845	apt-key	EXIT_DEAD
0x9cbdc740	26894	26894	26845	rm	EXIT_DEAD
0x9cbddf00	26886	26886	26845	apt-key	EXIT_DEAD
0x9cbe0000	26865	26865	26845	rm	EXIT_DEAD
0x9cbe17c0	26856	26856	26845	apt-config	EXIT_DEAD
0x9cbe2f80	26866	26866	26845	touch	EXIT_DEAD
0x9cbe4740	26855	26855	26845	apt-key	EXIT_DEAD
0x9cbe5f00	26867	26867	26845	apt-config	EXIT_DEAD
0x9cbf8000	26872	26872	26871	apt-key	EXIT_DEAD
0x9cbf97c0	26871	26871	26845	apt-key	EXIT_DEAD
0x9cbfaf80	26877	26877	26845	cat	EXIT_DEAD
0x9cbfc740	26864	26864	26845	readlink	EXIT_DEAD
0x9cbfdf00	26873	26873	26871	sort	EXIT_DEAD
0x9eb36080	26803	26803	26802	apt-config	EXIT_DEAD
0x9eb37840	26812	26812	26869	chmod	EXIT_DEAD
0x9ec91840	26879	26879	26845	cmp	EXIT_DEAD
0x9ec93000	26878	26878	26845	apt-key	EXIT_DEAD
0x9ec95000	26851	26851	26845	apt-config	EXIT_DEAD
0x9ec99740	26810	26810	26892	apt-config	EXIT_DEAD
0x9eed1840	26872	26872	26871	apt-key	EXIT_DEAD
0x9eed3000	26871	26871	26845	apt-key	EXIT_DEAD
0x9eed47c0	26877	26877	26845	cat	EXIT_DEAD
0x9eed5f80	26864	26864	26845	readlink	EXIT_DEAD
0x9eee47c0	26866	26866	26845	touch	EXIT_DEAD
0x9eee5f80	26855	26855	26845	apt-key	EXIT_DEAD
0x9eee7740	26867	26867	26845	apt-config	EXIT_DEAD
0xa0800000	27501	27501	27500	objdump	EXIT_DEAD
0xa08017c0	27503	27503	27420	sh	EXIT_DEAD
0xa0802f80	27502	27502	27500	grep	EXIT_DEAD
0xa0804740	27506	27506	27420	sh	EXIT_DEAD
0xa0805f00	27504	27504	27420	sh	EXIT_DEAD
0xa0840000	27403	27403	0	as	EXIT_DEAD
0xa08417c0	27404	27404	0	collect2	EXIT_DEAD
0xa0842f80	27397	27397	26968	sh	EXIT_DEAD
0xa0844740	27402	27402	0	cc1	EXIT_DEAD
0xa0845f00	27412	27412	27502	cat	EXIT_DEAD
0xa0848000	27528	27528	27526	cat	EXIT_DEAD
0xa08497c0	27536	27536	27580	gcc	EXIT_DEAD
0xa084af80	27581	27581	26332	date	EXIT_DEAD
0xa084c740	27492	27492	27491	cc1	EXIT_DEAD
0xa084df00	27539	27539	27580	fixdep	EXIT_DEAD
0xa0968000	27430	27430	27420	sh	EXIT_DEAD
0xa09697c0	27432	27432	27420	sh	EXIT_DEAD
0xa096af80	27433	27433	27432	objdump	EXIT_DEAD
0xa096c740	27428	27428	27420	sh	EXIT_DEAD
0xa096df00	27422	27422	27420	sh	EXIT_DEAD
0xa0ac8000	27508	27508	27507	ld	EXIT_DEAD
0xa0ac97c0	27507	27507	27420	sh	EXIT_DEAD
0xa0acaf80	27505	27505	27420	sh	EXIT_DEAD
0xa0acc740	27524	27524	26968	sh	EXIT_DEAD
0xa0acdf00	27516	27516	27515	cat	EXIT_DEAD
