Volatility 3 Framework 2.26.2

PID	PPID	COMM	ARGS

1	0	systemd	/sbin/init auto automatic-ubiquity noprompt
2	0	kthreadd	[kthreadd]
3	2	rcu_gp	[rcu_gp]
4	2	rcu_par_gp	[rcu_par_gp]
6	2	kworker/0:0H	[kworker/0:0H]
8	2	mm_percpu_wq	[mm_percpu_wq]
9	2	ksoftirqd/0	[ksoftirqd/0]
10	2	rcu_sched	[rcu_sched]
11	2	migration/0	[migration/0]
12	2	idle_inject/0	[idle_inject/0]
14	2	cpuhp/0	[cpuhp/0]
15	2	cpuhp/1	[cpuhp/1]
16	2	idle_inject/1	[idle_inject/1]
17	2	migration/1	[migration/1]
18	2	ksoftirqd/1	[ksoftirqd/1]
20	2	kworker/1:0H	[kworker/1:0H]
21	2	cpuhp/2	[cpuhp/2]
22	2	idle_inject/2	[idle_inject/2]
23	2	migration/2	[migration/2]
24	2	ksoftirqd/2	[ksoftirqd/2]
26	2	kworker/2:0H	[kworker/2:0H]
27	2	cpuhp/3	[cpuhp/3]
28	2	idle_inject/3	[idle_inject/3]
29	2	migration/3	[migration/3]
30	2	ksoftirqd/3	[ksoftirqd/3]
32	2	kworker/3:0H	[kworker/3:0H]
33	2	kdevtmpfs	[kdevtmpfs]
34	2	netns	[netns]
35	2	rcu_tasks_kthre	[rcu_tasks_kthre]
36	2	kauditd	[kauditd]
40	2	khungtaskd	[khungtaskd]
41	2	oom_reaper	[oom_reaper]
42	2	writeback	[writeback]
43	2	kcompactd0	[kcompactd0]
44	2	ksmd	[ksmd]
45	2	khugepaged	[khugepaged]
92	2	kintegrityd	[kintegrityd]
93	2	kblockd	[kblockd]
94	2	blkcg_punt_bio	[blkcg_punt_bio]
95	2	tpm_dev_wq	[tpm_dev_wq]
96	2	ata_sff	[ata_sff]
97	2	md	[md]
98	2	edac-poller	[edac-poller]
99	2	devfreq_wq	[devfreq_wq]
100	2	watchdogd	[watchdogd]
104	2	kswapd0	[kswapd0]
105	2	ecryptfs-kthrea	[ecryptfs-kthrea]
107	2	kthrotld	[kthrotld]
108	2	irq/24-pciehp	[irq/24-pciehp]
