Volatility 3 Framework 2.26.2

PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size

1	1	systemd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
1	1	systemd	1	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
1	1	systemd	2	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
1	1	systemd	3	/dev/kmsg	0:6	12	CHR	crw-r--r--	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
1	1	systemd	4	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	5	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	6	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	7	/sys/fs/cgroup/unified	0:30	1	DIR	dr-xr-xr-x	2025-12-27 19:02:05.305382 UTC	2025-12-27 19:02:05.305382 UTC	2025-12-27 19:02:05.303488 UTC	0
1	1	systemd	8	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	9	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	10	/proc/1/mountinfo	0:5	25990	REG	-r--r--r--	2025-12-27 19:02:04.893291 UTC	2025-12-27 19:02:04.893291 UTC	2025-12-27 19:02:04.893291 UTC	0
1	1	systemd	11	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	12	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	13	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	14	/proc/swaps	0:5	4026532071	REG	-r--r--r--	2025-12-27 19:02:04.713291 UTC	2025-12-27 19:02:04.713291 UTC	2025-12-27 19:02:04.713291 UTC	0
1	1	systemd	15	socket:[26009]	0:9	26009	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	16	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	17	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	18	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	19	socket:[31126]	0:9	31126	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	20	socket:[31128]	0:9	31128	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	21	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	22	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	23	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	24	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
