Volatility 3 Framework 2.26.2

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

4026531992	systemd	1	1	15	0x9b9322a8e000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
4026531992	systemd	1	1	19	0x9b9326c7c400	AF_UNIX	STREAM	-	/run/systemd/private	31126	-	-	LISTEN	-
4026531992	systemd	1	1	20	0x9b9326c7aec0	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	31128	-	-	LISTEN	-
4026531992	systemd	1	1	25	0x9b92b9465940	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	82366	-	83063	ESTABLISHED	-
4026531992	systemd	1	1	27	0x9b92b4320880	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	105629	-	106698	ESTABLISHED	-
4026531992	systemd	1	1	35	0x9b9326c7bfc0	AF_UNIX	DGRAM	-	/run/systemd/notify	31123	-	-	UNCONNECTED	-
4026531992	systemd	1	1	36	0x9b9326c7fb40	AF_UNIX	DGRAM	-	-	31124	-	31125	UNCONNECTED	-
4026531992	systemd	1	1	37	0x9b9326c7ee80	AF_UNIX	DGRAM	-	-	31125	-	31124	UNCONNECTED	-
4026531992	systemd	1	1	38	0x9b93355c7000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405d5	1	group:0x00000000	0	UNCONNECTED	-
4026531992	systemd	1	1	44	0x9b9322a1b740	AF_UNIX	STREAM	-	/run/uuidd/request	36234	-	-	LISTEN	-
4026531992	systemd	1	1	45	0x9b9322fbf000	AF_NETLINK	RAW	NETLINK_AUDIT	-	3651662486	group:0x00000000	0	UNCONNECTED	-
4026531992	systemd	1	1	46	0x9b9325714400	AF_UNIX	DGRAM	-	-	29073	/run/systemd/journal/socket	31154	UNCONNECTED	-
4026531992	systemd	1	1	47	0x9b9326c7d940	AF_UNIX	STREAM	-		31139	-	-	LISTEN	-
4026531992	systemd	1	1	67	0x9b9322a1c840	AF_UNIX	STREAM	-	-	36264	/run/dbus/system_bus_socket	37636	ESTABLISHED	-
4026531992	systemd	1	1	69	0x9b93355c0000	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531992	systemd	1	1	72	0x9b9326c7f2c0	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	31140	-	-	UNCONNECTED	-
4026531992	systemd	1	1	74	0x9b9322a18cc0	AF_UNIX	STREAM	-	/run/snapd.socket	36230	-	-	LISTEN	-
4026531992	systemd	1	1	77	0x9b9322a18880	AF_UNIX	STREAM	-	/run/snapd-snap.socket	36232	-	-	LISTEN	-
