Volatility 3 Framework 2.26.2

facility	level	timestamp	caller	line

kern	notice	0.000000	-	Linux version 5.4.0-216-generic (buildd@lcy02-amd64-014) (gcc version 9.4.0 (Ubuntu 9.4.0-1ubuntu1~20.04.2)) #236-Ubuntu SMP Fri Apr 11 19:53:21 UTC 2025 (Ubuntu 5.4.0-216.236-generic 5.4.291)
kern	info	0.000000	-	Command line: BOOT_IMAGE=/vmlinuz-5.4.0-216-generic root=/dev/mapper/ubuntu--vg-ubuntu--lv ro debian-installer/custom-installation=/custom find_preseed=/preseed.cfg auto preseed/file=/floppy/preseed.cfg automatic-ubiquity noprompt priority=critical locale=en_US console-setup/modelcode=evdev
kern	info	0.000000	-	KERNEL supported cpus:
kern	info	0.000000	-	  Intel GenuineIntel
kern	info	0.000000	-	  AMD AuthenticAMD
kern	info	0.000000	-	  Hygon HygonGenuine
kern	info	0.000000	-	  Centaur CentaurHauls
kern	info	0.000000	-	  zhaoxin   Shanghai  
kern	info	0.000000	-	BIOS-provided physical RAM map:
kern	info	0.000000	-	BIOS-e820: [mem 0x0000000000000000-0x000000000009e7ff] usable
kern	info	0.000000	-	BIOS-e820: [mem 0x000000000009e800-0x000000000009ffff] reserved
kern	info	0.000000	-	BIOS-e820: [mem 0x00000000000dc000-0x00000000000fffff] reserved
kern	info	0.000000	-	BIOS-e820: [mem 0x0000000000100000-0x00000000bfecffff] usable
kern	info	0.000000	-	BIOS-e820: [mem 0x00000000bfed0000-0x00000000bfefefff] ACPI data
kern	info	0.000000	-	BIOS-e820: [mem 0x00000000bfeff000-0x00000000bfefffff] ACPI NVS
kern	info	0.000000	-	BIOS-e820: [mem 0x00000000bff00000-0x00000000bfffffff] usable
kern	info	0.000000	-	BIOS-e820: [mem 0x00000000f0000000-0x00000000f7ffffff] reserved
kern	info	0.000000	-	BIOS-e820: [mem 0x00000000fec00000-0x00000000fec0ffff] reserved
kern	info	0.000000	-	BIOS-e820: [mem 0x00000000fee00000-0x00000000fee00fff] reserved
kern	info	0.000000	-	BIOS-e820: [mem 0x00000000fffe0000-0x00000000ffffffff] reserved
kern	info	0.000000	-	BIOS-e820: [mem 0x0000000100000000-0x000000013fffffff] usable
kern	info	0.000000	-	NX (Execute Disable) protection: active
kern	info	0.000000	-	SMBIOS 2.7 present.
kern	info	0.000000	-	DMI: VMware, Inc. VMware Virtual Platform/440BX Desktop Reference Platform, BIOS 6.00 11/12/2020
kern	info	0.000000	-	vmware: hypercall mode: 0x02
kern	info	0.000000	-	Hypervisor detected: VMware
kern	info	0.000000	-	vmware: TSC freq read from hypervisor : 3187.200 MHz
kern	info	0.000000	-	vmware: Host bus clock speed read from hypervisor : 66000000 Hz
kern	info	0.000000	-	vmware: using sched offset of 3291957735 ns
kern	info	0.000001	-	tsc: Detected 3187.200 MHz processor
kern	debug	0.002913	-	e820: update [mem 0x00000000-0x00000fff] usable ==> reserved
kern	debug	0.002914	-	e820: remove [mem 0x000a0000-0x000fffff] usable
kern	info	0.002917	-	last_pfn = 0x140000 max_arch_pfn = 0x400000000
kern	debug	0.002931	-	MTRR default type: uncachable
kern	debug	0.002932	-	MTRR fixed ranges enabled:
kern	debug	0.002933	-	  00000-9FFFF write-back
kern	debug	0.002933	-	  A0000-BFFFF uncachable
kern	debug	0.002933	-	  C0000-CFFFF write-protect
kern	debug	0.002934	-	  D0000-EFFFF uncachable
kern	debug	0.002934	-	  F0000-FFFFF write-protect
kern	debug	0.002934	-	MTRR variable ranges enabled:
kern	debug	0.002935	-	  0 base 000000000000 mask 1FE000000000 write-back
kern	debug	0.002935	-	  1 base 0000C0000000 mask 1FFFC0000000 uncachable
kern	debug	0.002936	-	  2 disabled
kern	debug	0.002936	-	  3 disabled
kern	debug	0.002936	-	  4 disabled
kern	debug	0.002936	-	  5 disabled
kern	debug	0.002936	-	  6 disabled
kern	debug	0.002937	-	  7 disabled
kern	info	0.002944	-	x86/PAT: Configuration [0-7]: WB  WC  UC- UC  WB  WP  UC- WT  
kern	info	0.002954	-	total RAM covered: 130048M
kern	info	0.003228	-	Found optimal setting for mtrr clean up
kern	info	0.003229	-	 gran_size: 64K 	chunk_size: 64K 	num_reg: 7  	lose cover RAM: 0G
kern	debug	0.003271	-	e820: update [mem 0xc0000000-0xffffffff] usable ==> reserved
kern	info	0.003276	-	last_pfn = 0xc0000 max_arch_pfn = 0x400000000
kern	info	0.008496	-	found SMP MP-table at [mem 0x000f6a70-0x000f6a7f]
kern	info	0.010003	-	check: Scanning 1 areas for low memory corruption
kern	info	0.010022	-	Using GB pages for direct mapping
kern	info	0.010164	-	RAMDISK: [mem 0x2ce97000-0x32742fff]
kern	info	0.010168	-	ACPI: Early table checksum verification disabled
kern	info	0.010171	-	ACPI: RSDP 0x00000000000F6A00 000024 (v02 PTLTD )
kern	info	0.010173	-	ACPI: XSDT 0x00000000BFEDC633 00005C (v01 INTEL  440BX    06040000 VMW  01324272)
kern	info	0.010177	-	ACPI: FACP 0x00000000BFEFEE73 0000F4 (v04 INTEL  440BX    06040000 PTL  000F4240)
kern	info	0.010180	-	ACPI: DSDT 0x00000000BFEDD9E8 02148B (v01 PTLTD  Custom   06040000 MSFT 03000001)
kern	info	0.010184	-	ACPI: FACS 0x00000000BFEFFFC0 000040
kern	info	0.010186	-	ACPI: FACS 0x00000000BFEFFFC0 000040
kern	info	0.010188	-	ACPI: BOOT 0x00000000BFEDD9C0 000028 (v01 PTLTD  $SBFTBL$ 06040000  LTP 00000001)
kern	info	0.010190	-	ACPI: APIC 0x00000000BFEDD27E 000742 (v01 PTLTD  ? APIC   06040000  LTP 00000000)
