Volatility 3 Framework 2.26.2

Name	Address	In procfs	In sysfs	In scan	Taints

lime	0xffffc0ab0040	True	True	True	OOT_MODULE,UNSIGNED_MODULE
xsk_diag	0xffffc0aab040	True	True	True	-
vsock_diag	0xffffc0aa3000	True	True	True	-
udp_diag	0xffffc0a9b040	True	True	True	-
raw_diag	0xffffc0a93000	True	True	True	-
unix_diag	0xffffc0a8b040	True	True	True	-
af_packet_diag	0xffffc0a83040	True	True	True	-
netlink_diag	0xffffc0a7e040	True	True	True	-
tcp_diag	0xffffc0a79040	True	True	True	-
inet_diag	0xffffc0a70080	True	True	True	-
vmw_vsock_vmci_transport	0xffffc0991080	True	True	True	-
vsock	0xffffc0981280	True	True	True	-
dm_multipath	0xffffc0950240	True	True	True	-
scsi_dh_rdac	0xffffc09470c0	True	True	True	-
scsi_dh_emc	0xffffc091a0c0	True	True	True	-
scsi_dh_alua	0xffffc08cc0c0	True	True	True	-
vmw_balloon	0xffffc08b0180	True	True	True	-
binfmt_misc	0xffffc087a400	True	True	True	-
joydev	0xffffc09420c0	True	True	True	-
input_leds	0xffffc0938080	True	True	True	-
snd_ens1371	0xffffc092d480	True	True	True	-
serio_raw	0xffffc09231c0	True	True	True	-
snd_ac97_codec	0xffffc09109c0	True	True	True	-
gameport	0xffffc08f0240	True	True	True	-
snd_rawmidi	0xffffc08e4240	True	True	True	-
snd_seq_device	0xffffc08d7140	True	True	True	-
ac97_bus	0xffffc08d20c0	True	True	True	-
vmw_vmci	0xffffc08c3500	True	True	True	-
snd_pcm	0xffffc08a38c0	True	True	True	-
snd_timer	0xffffc0887140	True	True	True	-
snd	0xffffc086d3c0	True	True	True	-
soundcore	0xffffc085c000	True	True	True	-
mac_hid	0xffffc06da2c0	True	True	True	-
sch_fq_codel	0xffffc0670140	True	True	True	-
msr	0xffffc066a000	True	True	True	-
ramoops	0xffffc0665340	True	True	True	-
reed_solomon	0xffffc065d080	True	True	True	-
efi_pstore	0xffffc056c0c0	True	True	True	-
ip_tables	0xffffc06292c0	True	True	True	-
x_tables	0xffffc061e380	True	True	True	-
autofs4	0xffffc053f880	True	True	True	-
btrfs	0xffffc0828f40	True	True	True	-
zstd_compress	0xffffc071e000	True	True	True	-
raid10	0xffffc05b32c0	True	True	True	-
raid456	0xffffc0652100	True	True	True	-
async_raid6_recov	0xffffc05240c0	True	True	True	-
async_memcpy	0xffffc04f6080	True	True	True	-
async_pq	0xffffc04ed140	True	True	True	-
async_xor	0xffffc04e6140	True	True	True	-
async_tx	0xffffc04e00c0	True	True	True	-
xor	0xffffc04670c0	True	True	True	-
raid6_pq	0xffffc04d9000	True	True	True	-
libcrc32c	0xffffc045c040	True	True	True	-
raid1	0xffffc04523c0	True	True	True	-
raid0	0xffffc0397540	True	True	True	-
multipath	0xffffc0390200	True	True	True	-
linear	0xffffc0342100	True	True	True	-
crct10dif_pclmul	0xffffc062f240	True	True	True	-
crc32_pclmul	0xffffc0563240	True	True	True	-
vmwgfx	0xffffc06b7dc0	True	True	True	-
ghash_clmulni_intel	0xffffc0571440	True	True	True	-
ttm	0xffffc06eeb00	True	True	True	-
aesni_intel	0xffffc060adc0	True	True	True	-
crypto_simd	0xffffc0534040	True	True	True	-
drm_kms_helper	0xffffc0597680	True	True	True	-
cryptd	0xffffc0558100	True	True	True	-
syscopyarea	0xffffc0550000	True	True	True	-
sysfillrect	0xffffc0549040	True	True	True	-
ahci	0xffffc03798c0	True	True	True	-
glue_helper	0xffffc052f000	True	True	True	-
sysimgblt	0xffffc036c000	True	True	True	-
psmouse	0xffffc0517ac0	True	True	True	-
fb_sys_fops	0xffffc0365040	True	True	True	-
e1000	0xffffc04b8480	True	True	True	-
libahci	0xffffc0492600	True	True	True	-
i2c_piix4	0xffffc0485400	True	True	True	-
mptspi	0xffffc0479400	True	True	True	-
mptscsih	0xffffc0471200	True	True	True	-
drm	0xffffc041b140	True	True	True	-
mptbase	0xffffc03c6400	True	True	True	-
scsi_transport_spi	0xffffc0389680	True	True	True	-
pata_acpi	0xffffc0358480	True	True	True	-
floppy	0xffffc03aac40	True	True	True	-
hid_generic	0xffffc035e140	True	True	True	-
usbhid	0xffffc0351900	True	True	True	-
hid	0xffffc0339300	True	True	True	-
